map.put(001,霍亂(虎烈拉)
29911,崩解性精神病，殘餘狀態
2998,其他源發於兒童期之精神病
29980,其他源發於兒童期之精神病，發作或活性狀態
29981,其他源發於兒童期之精神病，殘餘狀態
2999,源發於兒童期之精神病
29990,源發於兒童期之精神病，發作或活性狀態
29991,源發於兒童期之精神病，殘餘狀態
300,精神官能症
300-316,精神官能症，人格違常及其他非精神病性精神疾患
3000,焦慮狀態
30000,焦慮狀態
30001,恐慌症
30002,泛焦慮症
30009,其他焦慮狀態
3001,歇斯底里症
30010,歇斯底里
30011,轉化症
30012,心因性失憶症
30013,心因性遊走症
30014,多重人格
30015,解離症或反應
30016,偽病症併心理症狀
30019,其他偽病
3002,畏懼疾患
30020,畏懼症
30021,懼曠症併恐慌發作
30022,懼曠症未提及恐慌發作
30023,懼社交症
30029,其他單獨或單純畏懼症
3003,強迫症
3004,精神官能性憂鬱症
3005,神經衰弱症
3006,自我感喪失性徵候群
3007,慮病症
3008,其他精神官能症
30081,身體化症
30082,無法鑑別之擬身體化症
30089,其他精神官能症
3009,精神官能症
301,人格違常
3010,妄想性人格違常
3011,情感性人格違常
30110,情感性人格違常
30111,慢性輕躁性人格違常
30112,慢性憂鬱性人格違常
30113,情感循環性人格違常
3012,分裂性人格違常
30120,準精神分裂性人格
30121,內向性人格
30122,分裂性人格
3013,暴躁性人格違常
3014,強迫性人格違常
3015,劇化性人格違常
30150,劇化性人格違常
30151,慢性偽病伴有身體症狀
30159,其他劇化性人格違常
3016,依賴性人格違常
3017,反社會性人格違常
3018,其他人格違常
30181,自戀性人格
30182,逃避性人格
30183,邊緣性人格
30184,被動-侵略性人格
30189,其他人格違常
3019,人格違常
302,性心理偏差及疾患
3021,戀獸症
3022,戀童症
3023,扮異性症
3024,暴露症
3025,變性症
30250,變性症併未明示之性經歷
30251,變性症，無性經歷
30252,變性症伴有同性戀經歷
30253,變性症伴有異性戀經歷
3026,性心理認同障礙
3027,性心理性功能障礙
30270,性心理性功能障礙
30271,性心理性功能障礙併性慾抑制
30272,性心理性功能障礙併性興奮抑制
30273,性心理性功能障礙併女性性高潮抑制
30274,性心理性功能障礙併男性性高潮抑制
30275,性心理性功能障礙併早洩
30276,性心理性功能障礙併功能性性交疼痛
30279,其他性心理性功能障礙
3028,其他性心理疾患
30281,戀物症
30282,窺視症
30283,性被虐待症
30284,性虐待症
30285,青春期或成人期性別認同障礙
30289,其他特定之性心理疾患
3029,性心理疾患
303,酒癮徵候群
3030,急性酒精中毒
30300,急性酒精中毒
30301,急性酒精中毒，持續性
30302,急性酒精中毒，陣發性
30303,急性酒精中毒，緩解中
3039,其他酒癮
30390,其他酒癮
30391,其他酒癮，持續性
30392,其他酒癮，陣發性
30393,其他酒癮，緩解中
304,藥癮
3040,鴉片類成癮
30400,鴉片類成癮
30401,鴉片類成癮，持續性
30402,鴉片類成癮，陣發性
30403,鴉片類成癮，緩解中
3041,巴比妥類及作用類似之鎮定劑或安眠藥成癮
30410,巴比妥類及作用類似之鎮定劑或安眠藥成癮
30411,巴比妥類及作用類似之鎮定劑或安眠藥成癮，持續性
30412,巴比妥類及作用類似之鎮定劑或安眠藥成癮，陣發性
30413,巴比妥類及作用類似之鎮定劑或安眠藥成癮，緩解中
3042,古柯鹼成癮
30420,古柯鹼成癮
30421,古柯鹼成癮，持續性
30422,古柯鹼成癮，陣發性
30423,古柯鹼成癮，緩解中
3043,大麻成癮
30430,大麻成癮
30431,大麻成癮，持續性
30432,大麻成癮，陣發性
30433,大麻成癮，緩解中
3044,安非他命及其他興奮劑成癮
30440,安非他命及其他興奮劑成癮
30441,安非他命及其他興奮劑成癮，持續性
30442,安非他命及其他興奮劑成癮，陣發性
30443,安非他命及其他興奮劑成癮，緩解中
3045,幻覺劑成癮
30450,幻覺劑成癮
30451,幻覺劑成癮，持續性
30452,幻覺劑成癮，陣發性
30453,幻覺劑成癮，緩解中
3046,其他特定之藥物成癮
30460,其他藥物成癮
30461,其他藥物成癮，持續性
30462,其他藥物成癮，陣發性
30463,其他藥物成癮，緩解中
3047,鴉片類與其他藥物併用成癮
30470,鴉片類與其他藥物併用成癮
30471,鴉片類與其他藥物併用成癮，持續性
30472,鴉片類與其他藥物併用成癮，陣發性
30473,鴉片類與其他藥物併用成癮，緩解中
3048,非鴉片類之其他藥物併用成癮
30480,非鴉片類之其他藥物併用成癮
30481,非鴉片類之其他藥物併用成癮，持續性
30482,非鴉片類之其他藥物併用成癮，陣發性
30483,非鴉片類之其他藥物併用成癮，緩解中
3049,藥癮
30490,藥癮
30491,藥癮，持續性
30492,藥癮，陣發性
30493,藥癮，緩解中
305,藥物濫用
3050,酒精濫用
30500,酒精濫用
30501,酒精濫用，持續性
30502,酒精濫用，陣發性
30503,酒精濫用，緩解中
3052,大麻濫用
30520,大麻濫用
30521,大麻濫用，持續性
30522,大麻濫用，陣發性
30523,大麻濫用，緩解中
3053,幻覺劑濫用
30530,幻覺劑濫用
30531,幻覺劑濫用，持續性
30532,幻覺劑濫用，陣發性
30533,幻覺劑濫用，緩解中
3054,巴比妥類及作用類似之鎮定劑或安眠藥濫用
30540,巴比妥類及作用類似之鎮定劑或安眠藥濫用
30541,巴比妥類及作用類似之鎮定劑或安眠藥濫用，持續性
30542,巴比妥類及作用類似之鎮定劑或安眠藥濫用，陣發性
30543,巴比妥類及作用類似之鎮定劑或安眠藥濫用，緩解中
3055,鴉片類藥物濫用
30550,鴉片類藥物濫用
30551,鴉片類藥物濫用，持續性
30552,鴉片類藥物濫用，陣發性
30553,鴉片類藥物濫用，緩解中
3056,古柯鹼濫用
30560,古柯鹼濫用
30561,古柯鹼濫用，持續性
30562,古柯鹼濫用，陣發性
30563,古柯鹼濫用，緩解中
3057,安非他命或相關作用之仿交感神經作用藥濫用
30570,安非他命類或相關作用之仿交感神經作用藥濫用
30571,安非他命類或相關作用之仿交感神經作用藥濫用，持續性
30572,安非他命類或相關作用之仿交感神經作用藥濫用，陣發性
30573,安非他命類或相關作用之仿交感神經作用藥濫用，緩解中
3058,抗憂鬱劑濫用
30580,抗憂鬱劑濫用
30581,抗憂鬱劑濫用，持續性
30582,抗憂鬱劑濫用，陣發性
30583,抗憂鬱劑濫用，緩解中
3059,其他混合性或未明示藥物濫用
30590,其他混合性或未明示藥物濫用
30591,其他混合性或未明示藥物濫用，持續性
30592,其他混合性或未明示藥物濫用，陣發性
30593,其他混合性或未明示藥物濫用，緩解中
306,心因性之生理功能障礙
3060,心因性之骨骼肌內系統功能障礙
3061,心因性之呼吸系統功能障礙
3062,心因性之心臟血管系統功能障礙
3063,心因性之皮膚系統功能障礙
3064,心因性之胃腸消化系統功能障礙
3065,心因性之生殖泌尿系統功能障礙
30650,心因性之生殖泌尿系統功能障礙
30651,心因性陰道痙攣
30652,心因性經痛
30653,心因性排尿困難
30659,其他心因性生殖泌尿系統功能障礙
3066,心因性內分泌功能障礙
3067,心因性特殊感官功能障礙
3068,其他心理生理功能障礙
3069,心理生理功能障礙
307,特定症狀或徵候群，NEC
3070,結巴與口吃
3071,神經性厭食症
3072,抽搐症
30720,抽搐疾患
30721,兒童之短暫抽搐疾患
30722,慢性運動性抽搐疾患
30723,土瑞氏症候群
3073,刻板性反覆動作
3074,特定非器質性之睡眠障礙
30740,非器質性睡眠障礙
30741,入睡或維持睡眠之短暫障礙
30742,入睡或維持睡眠之持續障礙
30743,初醒或保持清醒之短暫障礙
30744,初醒或保持清醒之持續障礙
30745,24小時睡眠－清醒週期轉換障礙
30746,夢遊症或睡驚症
30747,其他睡眠期或覺醒之功能障礙
30748,反覆侵擾性睡眠
30749,其他非器質性睡眠疾患
3075,其他飲食疾患
30750,飲食疾患
30751,暴食症
30752,異食症
30753,心因性反芻症
30754,心因性嘔吐症
30759,其他之飲食疾患
3076,遺尿症
3077,遺屎症
3078,心因性疼痛
30780,心因性疼痛
30781,緊張性頭痛
30789,其他心因性頭痛症
3079,其他特定症狀或徵候群，NEC
308,急性心理壓力反應
3080,急性心理壓力反應，以情緒障礙為主
3081,急性心理壓力反應，以意識障礙為主
3082,急性心理壓力反應，以精神運動障礙為主
3083,其他急性心理壓力反應
3084,急性心理壓力反應之混合性疾患
3089,急性心理壓力反應
309,環境適應障礙
3090,環境適應之短期憂鬱反應
3091,環境適應之長期憂鬱反應
3092,環境適應之其他情緒障礙
30921,分離焦慮疾患
30922,青少年期及成年早期之解離疾患
30923,特定之學校或工作上之壓抑
30924,環境適應障礙併焦慮情緒
30928,環境適應障礙併混合性情緒特徵
30929,其他環境適應障礙併其他情緒障礙
3093,環境適應障礙以行為障礙為主
3094,環境適應障礙以情緒及行為混合型障礙
3098,其他環境適應障礙
30981,長期性創傷後壓力疾患
30982,環境適應障礙併身體症狀
30983,環境適應障礙併戒斷
30989,其他特定之環境適應障礙
3099,環境適應障礙
310,器質性腦損傷後之特定非精神病性精神疾患
3100,額葉徵候群
3101,器質性人格徵候群
3102,腦震盪後徵候群
3108,其他併器質性腦損傷之特定非精神病性精神疾患
3109,併器質性腦損傷之非精神病性精神疾患
311,憂鬱性疾患，NEC
312,行為障礙，NEC
3120,攻擊型未社會化行為障礙
31200,攻擊型未社會化行為障礙
31201,輕度攻擊型未社會化行為障礙
31202,中度攻擊型未社會化行為障礙
31203,重度攻擊型未社會化行為障礙
3121,非攻擊型未社會化行為障礙
31210,非攻擊型未社會化行為障礙
31211,輕度之非攻擊型未社會化行為障礙
31212,中度之非攻擊型未社會化行為障礙
31213,重度之非攻擊型未社會化行為障礙
3122,社會化行為障礙
31220,社會化行為障礙
31221,輕度社會化行為障礙
31222,中度社會化行為障礙
31223,重度社會化行為障礙
3123,衝動控制障礙，NEC
31230,衝動控制障礙
31231,病態性賭博症
31232,病態偷竊症
31233,病態縱火症
31234,間歇性暴躁症
31235,單發性暴躁症
31239,其他衝動控制障礙，NEC
3124,行為與情緒之混合障礙
3128,其他之行為異常，NEC
31281,兒童期發作型之行為異常
31282,青少年期發作型之行為異常
31289,其他行為異常
3129,行為異常
313,特發於兒童及青少年期之情緒障礙
3130,特發於兒童及青少年期之過度焦慮症
3131,特發於兒童及青少年期之悲傷及不快樂
3132,特發於兒童及青少年期之敏感害羞及社會性退縮
31321,兒童期之害羞
31322,兒童期之內向
31323,特發於兒童及青少年期之選擇性之不語
3133,特發於兒童及青少年期之人際關係困難
3138,特發於兒童及青少年期之其他或混合性之情緒障礙
31381,特發於兒童及青少年期之對立反抗症
31382,特發於兒童及青少年期之認同障礙
31383,特發於兒童及青少年期之學業成就不定障礙
31389,特發於兒童期與青春期之其他或混合性情緒障礙
3139,特發於兒童期與青春期之情緒障礙
314,兒童期過動徵候群
3140,注意力不足疾患
31400,注意力不足疾患，未提及過動行為
31401,注意力不足疾患，伴有過動行為
3141,過動現象，併發展遲緩者
3142,過動行為疾患
3148,其他特定之過動徵候群
3149,過動徵候群
315,特定發展遲滯
3150,特定閱讀遲滯
31500,閱讀障礙
31501,失讀症
31502,發展性讀字困難
31509,其他特定閱讀障礙
3151,特定算術遲滯
3152,其他特定學習困難
3153,語言或語文發展疾患
31531,語文發展疾患
31532,接受性語文發展障礙(混合型)
31539,其他語言或語文發展障礙
3154,協調障礙
3155,混合發展障礙
3158,其他特定之發展遲緩
3159,發展遲緩
316,與其他特定疾病相關之精神因素
317,輕度智能不足
317-319,智能不足
318,其他特定智能不足
3180,中度智能不足
3181,重度智能不足
3182,極度智能不足
319,智能不足
320,細菌性腦膜炎
320-326,中樞神經系統之炎症
320-389,六、神經系統及感覺器官之疾病
3200,嗜血桿菌性腦膜炎
3201,肺炎球菌性腦膜炎
3202,鏈球菌性腦膜炎
3203,葡萄球菌性腦膜炎
3207,其他特定細菌疾病所致之腦膜炎
3208,其他特定細菌所致之腦膜炎
32081,厭氧菌性腦膜炎
32082,葛蘭氏陰性菌所致之腦膜炎，NEC
32089,其他特定細菌所致之腦膜炎
3209,未明示致病細菌之腦膜炎
321,其他病原體所致之腦膜炎
3210,囊球菌性腦膜炎
3211,其他黴菌疾病所致之腦膜炎
3212,病毒所致之腦膜炎
3213,錐蟲病所致之腦膜炎
3214,類肉瘤病之腦膜炎
3218,其他非細菌病原體所致之腦膜炎
322,腦膜炎
3220,非化膿性腦膜炎
3221,嗜伊紅性腦膜炎
3222,慢性腦膜炎
3229,腦膜炎
323,腦炎，脊髓炎及腦脊髓炎
3230,病毒疾病所致之腦炎
3231,立克次體病所致之腦炎
3232,原蟲病所致之腦炎
3234,傳染所致之其他腦炎
3235,人工免疫處置後所致腦炎
3236,感染後所致之腦炎
3237,中毒性腦炎
3238,其他原因所致之腦炎
3239,腦炎
324,顱內及脊椎管內膿瘍
3240,顱內膿瘍
3241,脊椎管內膿瘍
3249,顱內及脊椎管內膿瘍
325,顱內靜脈竇之靜脈炎及血栓靜脈炎
326,顱內膿瘍或化膿性感染之後期影響
330,常在童年期顯現之大腦退化
330-337,中樞神經系統之遺傳性及退化性疾病
3300,白質營養性退化
3301,大腦脂肪代謝病
3302,全身性脂肪代謝病中之大腦退化
3303,其他特定疾病所致童年期大腦退化
3308,其他童年期大腦退化
3309,童年期大腦退化
331,其他大腦退化
3310,阿茲海默氏病
3311,畢克氏病
3312,老年性腦退化
3313,交通性水腦症
3314,阻塞性水腦症
3317,其他特定疾病所致大腦變質
3318,其他大腦退化
33181,Reye氏徵候群
33189,其他大腦退化
3319,大腦退化
332,巴金森氏病
3320,震顫麻痺
3321,續發性巴金森氏病
333,其他錐體外疾病及不正常動作疾患
3330,基底神經節之其他退化性疾病
3331,自發性及其他明示型之震顫
3332,肌陣攣
3333,器質性抽動
3334,Huntington氏舞蹈症
3335,其他舞蹈症
3336,持發性扭轉張力不全
3337,症狀性扭轉張力不全
3338,零星性扭轉張力不全
33381,瞼痙攣
33382,口面部異動症
33383,痙攣性斜頸
33384,器質性書寫痙攣
33389,其他零星性扭轉張力不全
3339,錐體外疾病及不正常動作疾患
33390,錐體外疾病及不正常動作疾患
33391,僵直人徵候群
33392,神經性惡性徵候群
33393,良性打顫發作
33399,其他錐體外疾病及不正常動作疾患
334,脊髓小腦症
3340,弗利德來運動失調
3341,遺傳性痙攣性下身麻痺
3342,原發性小腦變質
3343,其他小腦變質
3344,其他特定疾病所致之小腦性運動失調
3348,其他脊髓小腦症
3349,脊髓小腦症
335,前角細胞疾病
3350,Werdnig-Hoffmann氏疾病
3351,脊髓性肌肉萎縮
33510,脊髓性肌肉萎縮
33511,Kugelberg-Welander氏疾病
33519,其他脊髓性肌肉萎縮
3352,運動神經元疾病
33520,肌萎縮性側索硬化
33521,進行性肌萎縮
33522,進行性延髓性麻痺
33523,假性延髓性麻痺
33524,原發性側索硬化
33529,其他運動神經元疾病
3358,其他前角細胞疾病
3359,前角細胞疾病
336,脊髓之其他疾病
3360,脊髓空洞病及延髓空洞病
3361,血管性脊髓病變
3362,其他特定疾病所致之亞急性脊髓聯合退化
3363,其他特定疾病所致之脊髓病變
3368,其他脊髓病變
3369,脊髓疾病
337,自主神經系統疾患
3370,特發性末梢自主神經疾患
3371,其他特定疾患所致末梢自主神經疾患
3372,反射交感神經性失養症
33720,反射交感神經性失養症
33721,上肢之反射交感神經性失養症
33722,下肢之反射交感神經性失養症
33729,其他特定部位之反射交感神經性失養症
3373,無法自主性反射
3379,自主神經系統疾患
340,多發性硬化症
340-349,其他中樞神經系統疾患
341,其他中樞神經系統之脫髓鞘疾病
3410,視神經髓質炎
3411,Schilder氏病
3418,其他中樞神經系統之脫髓鞘疾病
3419,中樞神經系統之脫髓鞘疾病
342,半身麻痺，偏癱
3420,鬆弛性半身麻痺
34200,鬆弛性半身麻痺，未明示影響部位
34201,鬆弛性半身麻痺，影響優勢部位
34202,鬆弛性半身麻痺，影響非優勢部位
3421,痙攣性半身麻痺
34210,痙攣性半身麻痺，未明示影響部位
34211,痙攣性半身麻痺，影響優勢部位
34212,痙攣性半身麻痺，影響非優勢部位
3428,其他特定之偏癱
34280,其他特定之偏癱，未明示影響部位
34281,其他特定之偏癱，影響優勢部位
34282,其他特定之偏癱，影響非優勢部位
3429,半身麻痺
34290,半身麻痺，未明示影響部位
34291,半身麻痺，影響優勢部位
34292,半身麻痺，影響非優勢部位
343,嬰兒性腦性麻痺
3430,嬰兒性腦性麻痺，雙側麻痺
3431,嬰兒性腦性麻痺，半身麻痺
3432,嬰兒性腦性麻痺，四肢麻痺，四癱
3433,嬰兒性腦性麻痺，單肢麻痺，單癱
3434,嬰兒性半身麻痺
3438,其他嬰兒性腦性麻痺
3439,嬰兒性腦性麻痺
344,其他麻痺性徵候群
3440,四肢麻痺，四癱
34400,四肢麻痺
34401,第一頸椎至第四頸椎完全麻痺
34402,第一頸椎至第四頸椎不完全麻痺
34403,第五頸椎至第七頸椎完全麻痺
34404,第五頸椎至第七頸椎不完全麻痺
34409,其他四肢麻痺，四癱
3441,下身麻痺，截癱
3442,上肢雙側麻痺
3443,下肢單側麻痺
34430,下肢單側麻痺，未明示影響側別
34431,下肢單側麻痺，影響優勢側
34432,下肢單側麻痺，影響非優勢側
3444,上肢單側麻痺
34440,上肢單側麻痺，未明示影響側別
34441,上肢單側麻痺，影響優勢側
34442,上肢單側麻痺，影響非優勢側
3445,單肢麻痺
3446,脊髓馬尾徵候群
34460,脊髓馬尾徵候群未提及神經性膀胱
34461,脊髓馬尾徵候群併神經性膀胱
3448,其他特定之麻痺性徵候群
34481,其他鎖定狀態之麻痺性徵候群
34489,其他特定之麻痺性徵候群
3449,麻痺
345,癲癇
3450,全身性無抽搐癲癇
34500,全身性無抽搐癲癇，未提及難治之癲癇
34501,全身性無抽搐癲癇併難治之癲癇
3451,全身性抽搐癲癇
34510,全身性抽搐癲癇，未提及難治之癲癇
34511,全身性抽搐癲癇併難治之癲癇
3452,小發作性癲癇
3453,大發作性癲癇
3454,伴有意識障礙之部份癲癇
34540,部份癲癇，伴有意識障礙未提及難治之癲癇
34541,部份癲癇，伴有意識障礙併難治之癲癇
3455,部份癲癇，未提及意識障礙
34550,部份癲癇，未提及意識障礙及難治之癲癇
34551,部份癲癇，未提及意識障礙，併難治之癲癇
3456,嬰兒痙攣
34560,嬰兒痙攣，未提及難治之癲癇
34561,嬰兒痙攣併難治之癲癇
3457,連續部份性癲癇
34570,連續部份性癲癇，未提及難治之癲癇
34571,連續部份性癲癇併難治之癲癇
3458,其他型態之癲癇
34580,其他型態之癲癇，未提及難治之癲癇
34581,其他型態之癲癇伴有難治之癲癇
3459,癲癇
34590,癲癇未提及難治之癲癇
34591,癲癇伴有難治之癲癇
346,偏頭痛
3460,典型偏頭痛
34600,典型偏頭痛，未提及難治之偏頭痛
34601,典型偏頭痛，提及難治之偏頭痛
3461,一般偏頭痛
34610,一般偏頭痛，未提及難之偏頭痛
34611,一般偏頭痛，提及難治之偏頭痛
3462,變異型偏頭痛
34620,變異型偏頭痛，未提及難治之偏頭痛
34621,變異型偏頭痛，提及難治之偏頭痛
3468,其他型態之偏頭痛
34680,其他型態之偏頭痛，未提及難治之偏頭痛
34681,其他型態之偏頭痛，提及難治之偏頭痛
3469,偏頭痛
34690,偏頭痛，未提及難治之偏頭痛
34691,偏頭痛，提及難治之偏頭痛
347,猝倒症及嗜睡症
348,腦部之其他病態
3480,腦囊腫
3481,腦缺氧損傷
3482,良性顱內高壓症
3483,腦病變
3484,腦之壓迫
3485,腦水腫
3488,腦部之其他病態
3489,腦部病態
349,其他神經系統疾患
3490,脊椎或腰椎穿刺之反應
3491,外科裝置物所致之神經系統併發症
3492,腦膜疾患，NEC
3498,其他之神經系統疾患
34981,腦脊液性鼻漏
34982,中毒性腦病變
34989,神經系統之其他疾患
3499,神經系統疾患
350,三叉神經疾患
350-359,末梢神經系統疾患
3501,三叉神經痛
3502,非典型性臉痛
3508,其他特定之三叉神經疾患
3509,三叉神經疾患
351,面神經疾患
3510,貝爾氏麻痺（面神經麻痺）
3511,膝狀神經節（面神經感覺神經節炎）
3518,其他面神經疾患
3519,面神經疾患
352,其他腦神經疾患
3520,嗅神經（第一對腦神經）疾患
3521,舌咽神經痛
3522,舌咽神經（第九對腦神經）其他疾患
3523,迷走神經（第十對腦神經）疾患
3524,脊副神經（第十一對腦神經）疾患
3525,舌下神經（第十二對腦神經）疾患
3526,多發性腦神經麻痺
3529,腦神經疾患
353,神經根及神經叢疾患
3530,臂神經叢病灶
3531,腰薦椎神經叢病灶
3532,頸神經根病灶，NEC
3533,胸神經根病灶，NEC
3534,腰薦椎神經根病灶，NEC
3535,神經痛性肌萎縮症
3536,幻想肢（徵候群）
3538,其他神經根及神經叢疾患
3539,神經根及神經叢疾患
354,上肢單一神經炎及多發單一神經炎
3540,腕隧道徵候群
3541,正中神經之其他病灶
3542,尺神經病灶
3543,撓神經病灶
3545,多發性單一神經炎
3548,其他上肢單一神經炎
3549,上肢單一神經炎
355,下肢單一神經炎
3550,坐骨神經病灶
3551,感覺異常性股痛
3552,股神經病灶
3553,外側膕神經病灶
3554,內側膕神經病灶
3555,跗隧道徵候群
3556,蹠神經病灶
3557,其他下肢單一神經炎
35571,下肢灼痛
35579,其他下肢單一神經炎
3558,下肢單一神經炎
3559,下肢單一神經炎
356,遺傳性及特發性之末梢神經病變
3560,遺傳性末梢神經病變
3561,腓骨肌萎縮症
3562,遺傳性感覺神經病變
3563,Refsum氏病
3564,特發進行性多發神經病變
3568,其他特發性之末梢神經病變
3569,遺傳性及特發性之末梢神經病變
357,發炎性及中毒性神經病變
3570,急性感染性多發神經炎
3571,膠原病性血管病所致之多發神經病變
3572,糖尿病所致之多發神經病變
3573,惡性疾病所致之多發神經病變
3574,其他特定疾病所致之多發神經病變
3575,酒精性多發神經病變
3576,藥物所致之多發神經病變
3577,其他毒物所致之多發神經病變
3578,其他發炎性及中毒性神經病變
3579,發炎性及中毒性神經病變
358,肌神經疾患
3580,重症肌無力
3581,其他特定疾病所致之肌無力徵候群
3582,中毒性肌神經疾患
3588,其他特定之肌神經疾患
3589,肌神經疾患
359,肌營養不良性退化（肌原性肌病）及其他肌病變
3590,先天遺傳肌營養不良性退化
3591,遺傳進行性肌營養不良性退化
3592,肌強直疾患
3593,家族性週期性麻痺
3594,中毒性肌病變
3595,其他特定內分泌疾病所致肌病變
3596,其他特定疾病所致症狀性炎性肌病變
3598,其他肌病變
3599,肌病變
360,眼球疾患
360-379,眼睛及附屬器官之疾患
3600,化膿性眼內炎
36000,化膿性眼內炎
36001,急性眼內炎
36002,全眼炎
36003,慢性眼內炎
36004,玻璃體膿瘍
3601,其他眼內炎
36011,交感性葡萄膜炎
36012,全葡萄膜炎
36013,寄生物性眼內炎，NOS
36014,結節性眼炎
36019,其他眼內炎
3602,眼球退化性疾患
36020,眼球退化疾患
36021,進行性高度（退化性）近視
36023,眼球鐵質沈著症
36024,眼球其他金屬沈著症
36029,其他眼球退化性疾患
3603,低眼壓症
36030,低眼壓症
36031,原發性低眼壓症
36032,眼?管所致之低眼壓症
36033,其他眼疾所致之低眼壓症
36034,扁平性眼前房
3604,眼球退化病態
36040,眼球或眼之退化
36041,失明性低眼壓症
36042,失明性高眼壓症
36043,除了電流損傷以外之眼房積血
36044,白色瞳孔
3605,眼球內磁性異物存留（陳舊性）
36050,眼球內磁性異物
36051,前房內磁性異物
36052,虹膜或睫狀體內磁性異物
36053,水晶體內磁性異物
36054,玻璃體內磁性異物
36055,眼後壁內磁性異物
36059,眼球內其他部位或多處磁性異物
3606,眼球內非磁性異物存留（陳舊性）
36060,眼球內非磁性異物
36061,眼前房內非磁性異物
36062,虹膜或睫狀體內非磁性異物
36063,水晶體內非磁性異物
36064,玻璃體內非磁性異物
36065,眼後壁內非磁性異物
36069,眼球內其他部位或多處非磁性異物
3608,其他眼球疾患
36081,眼球脫位
36089,其他眼球疾患
3609,眼球疾患
361,網膜剝離及缺損
3610,視網膜剝離併視網膜缺損
36100,視網膜剝離併視網膜缺損
36101,新近部分視網膜剝離併單一缺損
36102,新近部分視網膜剝離併多數缺損
36103,新近部分視網膜剝離併大撕裂
36104,新近部分視網膜剝離併視網膜分離
36105,新近全部或近全部視網膜剝離
36106,陳舊性部份視網膜剝離
36107,陳舊性全部或近全部視網膜剝離
3611,視網膜層分裂及網膜囊腫
36110,視網膜層分裂
36111,扁平視網膜層分裂症
36112,水泡性視網膜層分裂症
36113,原發性視網膜囊腫
36114,續發性視網膜囊腫
36119,其他之網膜層分裂及網膜囊腫
3612,漿液性視網膜剝離
3613,未伴有剝離之視網膜缺損
36130,視網膜缺損
36131,網膜圓型裂孔未伴有剝離
36132,網膜馬蹄型撕裂，未伴有剝離
36133,網膜多處缺損未伴有剝離
3618,其他型態之視網膜剝離
36181,示網膜牽引性剝離
36189,其他型態之視網膜剝離
3619,視網膜剝離
362,視網膜之其他疾患
3620,糖尿病性視網膜病變
36201,背基型糖尿病性視網膜病變
36202,增殖性糖尿病性視網膜病變
3621,其他背基型視網膜病變及視網膜血管變化
36210,背基型視網膜病變
36211,高血壓性視網膜病變
36212,滲出性視網膜病變
36213,視網膜血管型態之變化
36214,視網膜微動脈瘤NOS
36215,視網膜毛細血管擴張
36216,視網膜血管新生NOS
36217,其他視網膜內微血管異常
36218,視網膜血管炎
3622,其他增殖性視網膜病變
36221,晶體後纖維增殖
36229,其他非糖尿病增殖性視網膜病變
3623,視網膜血管閉塞
36230,視網膜血管閉塞
36231,中心視網膜動脈閉塞
36232,視網膜動脈枝閉塞
36233,部份視網膜動脈閉塞
36234,短暫性視網膜動脈閉塞
36235,中心視網膜靜脈閉塞
36236,視網膜靜脈支流（分枝）閉塞
36237,視網膜靜脈淤血
3624,視網膜層分離
36240,視網膜層分離
36241,中心漿液性視網膜病變
36242,視網膜色素上皮層漿液性剝離
36243,視網膜色素上皮層出血性剝離
3625,黃斑部及後極部退化
36250,黃斑部退化（老年期）
36251,黃斑部非滲出性退化,老年期
36252,黃斑部滲出性退化,老年期
36253,黃斑部囊狀退化
36254,黃斑部囊腫，破洞或假性破洞
36255,中毒性黃斑病變
36256,黃斑皺褶
36257,透明疣（退化）
3626,周邊視網膜退化
36260,周邊視網膜退化
36261,鋪路石狀周邊視網膜退化
36262,小囊狀周邊視網膜退化
36263,格子狀周邊視網膜退化
36264,老年期網狀退化
36265,續發性色素退化
36266,續發性玻璃體網膜退化
3627,遺傳性視網膜失養症
36270,遺傳性視網膜失養症
36271,全身性或腦視網膜脂肪代謝障礙所致之視網膜失養症
36272,其他全身性疾患或症候群所致之視網膜失養症
36273,玻璃體視網膜失養症
36274,色素性視網膜失養症
36275,其他源發於感覺網膜之視網膜失養症
36276,源發於網膜色素上皮之失養症
36277,源發於Bruch's 氏膜之失養症
3628,視網膜之其他疾患
36281,視網膜出血
36282,視網膜滲液及沈積物
36283,視網膜水腫
36284,視網膜缺血
36285,視網膜神經纖維束缺損
36289,其他視網膜之疾患
3629,視網膜疾患
363,脈絡膜視網膜發炎及疤痕與其他脈絡膜疾患
3630,局限性脈絡膜視網膜炎及局限性視網膜脈絡膜炎
36300,局限性脈絡膜視網膜炎
36301,乳頭周圍之局限性脈絡膜炎及脈絡膜視網膜炎
36303,後極部之局限性脈絡膜炎及脈絡膜視網膜炎
36304,網膜周圍之局限性脈絡膜炎及脈絡膜視網膜炎
36305,乳頭周圍之局限性視網脈炎及視網膜脈絡膜炎
36306,黃斑或黃斑旁之局限性視網膜炎及視網膜脈絡膜炎
36307,其他後極部之局限性視網膜炎及視網膜脈絡膜炎
36308,網膜周圍之局限性視網膜炎及視網膜脈絡膜炎
3631,散布性脈絡膜視網膜炎及散布性視網膜脈絡膜炎
36310,散布性脈絡膜視網膜炎
36311,後極部散布性脈絡膜炎及脈絡膜視網膜炎
36312,周圍之散布性脈絡膜炎及脈絡膜視網膜炎
36313,普遍的散布性脈絡膜炎及脈絡膜視網膜炎
